Category,Type,Bottle,In Stock,Proof,Size (mL),Price Paid,Size (oz),$/mL,$/oz,$/1.5oz,$/mL*C2H6O
Spirit,Brandy,E&J X.O.,1,80,750,$13.99,25.4,$0.019,$0.55,$0.83,$0.047
Spirit,Dry Gin,Michigin,1,90,750,$35.95,25.4,$0.048,$1.42,$2.13,$0.107
Spirit,Dry Gin,Kinckerbocker,1,85,750,$24.99,25.4,$0.033,$0.99,$1.48,$0.078
Spirit,Dry Gin,Bombay Sapphire,1,94,750,$21.99,25.4,$0.029,$0.87,$1.30,$0.062
Spirit,Dry Gin,New Amsterdam,1,80,1750,$22.99,59.2,$0.013,$0.39,$0.58,$0.033
Spirit,Dry Gin,Kirkland London Dry,1,88,1750,$25.49,59.2,$0.015,$0.43,$0.65,$0.033
Spirit,Genever,Bols,1,84,750,$28.99,25.4,$0.039,$1.14,$1.71,$0.092
Spirit,Amber Rum,Sailor Jerry,1,92,750,$17.99,25.4,$0.024,$0.71,$1.06,$0.052
Spirit,Amber Rum,Captain Morgan,0,70,750,$14.99,25.4,$0.020,$0.59,$0.89,$0.057
Spirit,Amber Rum,Kirkland St. Croix,1,92,1750,$19.69,59.2,$0.011,$0.33,$0.50,$0.024
Spirit,White Rum,Bacardi,1,80,1000,$18.99,33.8,$0.019,$0.56,$0.84,$0.047
Spirit,Rye Whiskey,"Bulleit Rye, 1.75L",0,90,1750,$55.99,59.2,$0.032,$0.95,$1.42,$0.071
Spirit,Rye Whiskey,"Bulleit Rye, 1L",0,90,1000,$37.99,33.8,$0.038,$1.12,$1.69,$0.084
Spirit,Rye Whiskey,Bulleit Rye,1,90,750,$28.96,25.4,$0.039,$1.14,$1.71,$0.086
Spirit,Vodka,Tito's,0,80,750,$19.99,25.4,$0.027,$0.79,$1.18,$0.067
Spirit,Vodka,Skyy,1,80,750,$14.99,25.4,$0.020,$0.59,$0.89,$0.050
Liqueur,Orange Liqueur,Clement Martinique,1,80,750,$22.99,25.4,$0.031,$0.91,$1.36,$0.077
Liqueur,Orange Liqueur,Triple Sec,1,30,750,$5.99,25.4,$0.008,$0.24,$0.35,$0.053
Vermouth,Dry Vermouth,Noilly Prat Dry,1,32,375,$6.99,12.7,$0.019,$0.55,$0.83,$0.117
Vermouth,Sweet Vermouth,Noilly Prat Sweet,1,32,375,$6.99,12.7,$0.019,$0.55,$0.83,$0.117
Vermouth,Dry Vermouth,Lionello,0,32,750,$6.99,25.4,$0.009,$0.28,$0.41,$0.058
Vermouth,Sweet Vermouth,Gallo,0,32,750,$5.49,25.4,$0.007,$0.22,$0.32,$0.046
Bitters,Aromatic Bitters,Angostura,1,89.4,118,$7.95,4.0,$0.067,$1.99,$2.99,$0.151
Bitters,Angostura Bitters,Angostura,1,89.4,266,$12.90,9.0,$0.048,$1.43,$2.15,$0.108
Bitters,Aromatic Bitters,Peychaud's,1,70,148,$5.49,5.0,$0.037,$1.10,$1.65,$0.106
Bitters,Orange Bitters,Regan's,1,92,148,$8.99,5.0,$0.061,$1.80,$2.69,$0.132
Bitters,Orange Bitters,Angostura,1,56,118,$10.99,4.0,$0.093,$2.75,$4.13,$0.333
,,,,,,,,,,,
Spirit,Kentucky Bourbon,Evan Williams,1,86,750,$15.49,25.4,$0.021,$0.61,$0.92,$0.048
Spirit,Tennessee Whiskey,Jack Daniel's Honey,1,70,750,$24.99,25.4,$0.033,$0.99,$1.48,$0.095
Spirit,Irish Whiskey,Jameson,1,80,750,$27.99,25.4,$0.037,$1.10,$1.66,$0.093
Spirit,Dark Rum,Kraken Black,1,94,750,$20.99,25.4,$0.028,$0.83,$1.24,$0.060
Spirit,Silver Tequila,Jose Cuervo,1,80,750,$20.99,25.4,$0.028,$0.83,$1.24,$0.070
Spirit,Silver Tequila,Kirkland Silver Tequila,0,80,1750,$25.99,59.2,$0.015,$0.44,$0.66,$0.037
Liqueur,Amaretto,Disorionno,1,56,750,$27.99,25.4,$0.037,$1.10,$1.66,$0.133
Liqueur,Blackberry Liqueur,Homemade,1,35,600,$6.00,20.3,$0.010,$0.30,$0.44,$0.057
,,,,,,,0.0,,,,
,,,,,,,0.0,,,,
Spirit,Scotch Whisky,Glengoyne 10,1,86,750,$41.99,25.4,$0.056,$1.66,$2.48,$0.130
Spirit,Scotch Whisky,Balvenie 12 DoubleWood,0,86,750,$50.99,25.4,$0.068,$2.01,$3.02,$0.158
,,,,,,,0.0,,,,
,,,,,,,0.0,,,,
Syrup,Grenadine,Rose's,1,,355,$3.29,12.0,$0.009,$0.27,$0.41,
Syrup,Simple Syrup,Homemade,1,,4000,$2.79,135.3,$0.001,$0.02,$0.03,
Syrup,Rich Simple Syrup,Homemade,1,,2000,$2.79,67.6,$0.001,$0.04,$0.06,
Syrup,Honey,Kirkland Honey,1,,2270,$11.99,76.8,$0.005,$0.16,$0.23,
Syrup,Honey Syrup,Homemade,1,,3405,$11.99,115.1,$0.004,$0.10,$0.16,
Syrup,Orgeat,BG Reynolds,0,,232,$8.99,7.8,$0.039,$1.15,$1.72,
Syrup,Maple Syrup,Local Michigan,1,,177,$10.99,6.0,$0.062,$1.84,$2.75,
,,,,,,,,,,,
