Category,Type,Bottle,ABV,In Stock,Size (mL),Price Paid
Spirit,Brandy,E&J X.O.,40.0,1.0,750.0,$13.99
Spirit,Cognac,St. Remy V.S.O.P.,40.0,1.0,750.0,$12.99
Spirit,Dry Gin,New Amsterdam,40.0,1.0,1750.0,$22.99
Spirit,Genever,Bols,42.0,1.0,750.0,$28.99
Spirit,Amber Rum,Havana Club Anejo Clssico PR,40.0,1.0,750.0,$21.96
Spirit,White Rum,Bacardi Carta Blanca,40.0,1.0,1000.0,$18.99
Spirit,Rye Whiskey,Bulleit Rye,45.0,1.0,750.0,$28.96
Spirit,Vodka,Skyy,40.0,1.0,750.0,$14.99
Liqueur,Orange Liqueur,Mr. Boston Triple Sec,40.0,1.0,1000.0,$5.99
Vermouth,Dry Vermouth,Noilly Prat Extra Dry,16.0,1.0,375.0,$6.99
Vermouth,Sweet Vermouth,Dolin Rouge,16.0,1.0,375.0,$6.49
Bitters,Aromatic Bitters,Angostura,44.7,1.0,200.0,$9.99
Bitters,Orange Bitters,Regan's,46.0,1.0,148.0,$8.99
,,,,,,
Syrup,Grenadine,Rose's,,1.0,355.0,$3.29
Syrup,Simple Syrup,Homemade,,1.0,4000.0,$2.79
Syrup,Rich Simple Syrup,Homemade,,1.0,2000.0,$2.79
Syrup,Honey Syrup,Homemade,,1.0,3405.0,$11.99
,,,,,,
Dry,Sugar,Raw Cane Sugar,,1.0,4000.0,$2.79
Dry,Sugar cube,Demerara Sugar,,1.0,1000.0,$6.01
Dry,Honey,Kirkland Honey,,1.0,2270.0,$11.99
,,,,,,
Juice,Lemon Juice,Fresh,,1.0,45.0,$0.80
Juice,Lime Juice,Fresh,,1.0,30.0,$0.34
,,,,,,
Mixer,Ginger Beer,Bundaberg,,1.0,355.0,$1.50
Mixer,Soda Water,Club Soda,,1.0,178.0,$1.00
Mixer,Tonic Water,Tonic Water,,1.0,178.0,$1.00
Mixer,Cola,Coke,,1.0,355.0,$1.20
Mixer,Water,Water,,1.0,750.0,$0.00
